tarih,enflasyon;
01-2016,9.58;
02-2016,8.78;
03-2016,7.46;
04-2016,6.57;
05-2016,6.58;
06-2016,7.64;
07-2016,8.79;
08-2016,8.05;
09-2016,7.28;
10-2016,7.16;
11-2016,7.00;
12-2016,8.53;
01-2017,9.22;
02-2017,10.13;
03-2017,11.29;
04-2017,11.87;
05-2017,11.72;
06-2017,10.90;
07-2017,9.79;
08-2017,10.68;
09-2017,11.20;
10-2017,11.90;
11-2017,12.98;
12-2017,11.92;
01-2018,10.35;
02-2018,10.26;
03-2018,10.23;
04-2018,10.85;
05-2018,12.15;
06-2018,15.39;
07-2018,15.85;
08-2018,17.90;
09-2018,24.52;
10-2018,25.24;
11-2018,21.62;
12-2018,20.30;
01-2019,20.35;
02-2019,19.67;
03-2019,19.71;
04-2019,19.50;
05-2019,18.71;
06-2019,15.72;
07-2019,16.65;
08-2019,15.01;
09-2019,9.26;
10-2019,8.55;
11-2019,10.56;
12-2019,11.84;
01-2020,12.15;
02-2020,12.37;
03-2020,11.86;
04-2020,10.94;
05-2020,11.39;
06-2020,12.62;
07-2020,11.76;
08-2020,11.77;
09-2020,11.75;
10-2020,11.89;
11-2020,14.03;
12-2020,14.60;
01-2021,14.97;
02-2021,15.61;
03-2021,16.19;
04-2021,17.14;
05-2021,16.59;
06-2021,17.53;
07-2021,18.95;
08-2021,19.25;
09-2021,19.58;
10-2021,19.89;
11-2021,21.31;
12-2021,36.08;
